Item_ID	Sentence	Pre	ParentString	WordAfterAll	ParentNode	GrammFunction	Objects	Head	RevisedPartitive	RevisedHead	BadNP	JFQ_Head	CndP_Head	Information_Head_3gram	Length_Head_3gram	FQ_Head	P_Head	NPNiteID	Partitive	CorrectedHead
26:56	"i mean, we didn't have, you know, like six months --n40101d to check all of these places out."	check	check all of these places out	of	VP	NP	NP-OBJ	places				15	0.071090047	12.47960826	1	211	0.000175925	sw2005_s18_518	yes	places
41:71	"you know, is there something else we could have done --n401608, you know, in --n401623 checking out all the places that, uh, --n40164e might be available."	out	"checking out all the places that, uh, --n40164e might be available"	the	VP	NP	NP-OTHER	places				15	0.071090047	12.47960826	1	211	0.000175925	sw2005_s27_526	the	places
119:4	all the brothers and sisters got together			the		NP-SBJ		sisters				5	0.161290323	15.28696319	1	31	2.58e-05	sw2005_s72_501	the	sisters
441:104	"i've recently, um, tried --n400e84 to update my wardrobe, --n400e9f trying --n400eaa to put suits --n400ebd together that i can interchange, --n400edc the, jackets and the blouses and all that a lot."	and	"the, jackets and the blouses and all that"	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2008_s31_528	the	that
656:76	"uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,"	and	"was three hours long, and all this, kind of"	this	VP	NP-ETC	NP-OTHER	kind		this		36	0.016720855	9.122391419	1	2153	0.001795097	sw2010_s31_523	the	this
664:20	"and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud."		"and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud."	the	S	NP-SBJ		critics				1	0.333333333	19.19385378	1	3	2.5e-06	sw2010_s36_505	the	critics
766:37	"and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy."	won	won all kinds of awards	kinds	VP	NP	NP-OBJ	kinds	hyper	awards		59	0.453846154	13.18262653	1	130	0.00010839	sw2010_s110_513	no	awards
811:55	"it was him, but with a you know, with the beard and all that stuff."	and	the beard and all that stuff	that	NP	NP	NP-OTHER	stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2010_s138_515	the	stuff
1099:54	"and which --n4077fc isn't of, always the case in all cultures,"	in	in all cultures	cultures	PP	NP	NP-OTHER	cultures				1	0.166666667	17.87192569	1	6	5e-06	sw2012_s154_517	no	cultures
1189:45	"what i would love --n401258 to see --n401267 done to stop all of this,"	stop	stop all of this	of	VP	NP	NP-OBJ	this				25	0.009412651	8.819357636	1	2656	0.002214481	sw2015_s33_518	yes	this
