Item_ID	Sentence	Pre	ParentString	WordAfterAll	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID	Head	JFQ_Head	CndP_Head	Information_Head_3gram	Length_Head_3gram	FQ_Head	P_Head
26:56	i mean, we didn't have, you know, like six months --n40101d to check all of these places out.	check	check all of these places out	of	yes	VP		NP	NP-OBJ	sw2005_s18_518	places	15	0.0710900473933649	12.4796082638214	1	211 	0.000175924520876654
41:71	you know, is there something else we could have done --n401608, you know, in --n401623 checking out all the places that, uh, --n40164e might be available.	out	checking out all the places that, uh, --n40164e might be available	the	the	VP		NP	NP-OTHER	sw2005_s27_526	places	15	0.0710900473933649	12.4796082638214	1	211 	0.000175924520876654
76:58	i mean, she tr-, she had, she had children all across the united states	children	children all across the united states	across	no	NP			NP-OTHER		states	5	0.043859649122807	13.3736748190724	1	114 	9.50492672035005e-05
119:4	all the brothers and sisters got together			the	the			NP-SBJ		sw2005_s72_501	sisters	5	0.161290322580645	15.286963185879	1	31 	2.58467305553378e-05
430:34	um, you see people wearing, you know, all different attire.	know	wearing, you know, all different attire	different	no	VP			NP-OTHER		attire	1	0.5	20.1938537814876	1	2 	1.66753100357018e-06
441:104	i've recently, um, tried --n400e84 to update my wardrobe, --n400e9f trying --n400eaa to put suits --n400ebd together that i can interchange, --n400edc the, jackets and the blouses and all that a lot.	and	the, jackets and the blouses and all that	that	the	NP		NP	NP-OTHER	sw2008_s31_528	that	106	0.0047372184483375	5.74425371956121	1	22376 	0.0186563368679432
656:76	uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,	and	was three hours long, and all this, kind of	this	the	VP		NP-ETC	NP-OTHER	sw2010_s31_523	kind	36	0.0167208546214584	9.12239141893093	1	2153 	0.0017950971253433
664:20	and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud.		and, and all the critics initially said that, you know, it wouldn't go anywhere, that it was just going --n401024 to be a dud.	the	the	S		NP-SBJ		sw2010_s36_505	critics	1	0.333333333333333	19.1938537814876	1	3 	2.50129650535528e-06
766:37	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.	won	won all kinds of awards	kinds	no	VP		NP	NP-OBJ	sw2010_s110_513	kinds	59	0.453846153846154	13.1826265260643	1	130 	0.000108389515232062
811:55	it was him, but with a you know, with the beard and all that stuff.	and	the beard and all that stuff	that	the	NP		NP	NP-OTHER	sw2010_s138_515	stuff	76	0.0906921241050119	10.4847699689372	1	838 	0.000698695490495907
1007:10	and then all of, a sudden you get your thirty a week because now, they're advertising you.	then	and then all of, a sudden you get your thirty a week because now, they're advertising you.	of	yes	S		NP-ADV	NP-OTHER	sw2012_s94_502	sudden	31	1	15.286963185879	1	31 	2.58467305553378e-05
1099:54	and which --n4077fc isn't of, always the case in all cultures,	in	in all cultures	cultures	no	PP		NP	NP-OTHER	sw2012_s154_517	cultures	1	0.166666666666667	17.8719256866002	1	6 	5.00259301071055e-06
1170:17	or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.	somebody	somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already	ready	no	NP			NP-OBJ		list	1	0.0178571428571429	14.4124940679629	1	56 	4.66908680999652e-05
1189:45	what i would love --n401258 to see --n401267 done to stop all of this,	stop	stop all of this	of	yes	VP		NP	NP-OBJ	sw2015_s33_518	this	25	0.00941265060240964	8.81935763579603	1	2656 	0.0022144811727412
1205:16	but i still get all of those calls	get	get all of those calls	of	yes	VP		NP	NP-OBJ	sw2015_s44_504	calls	2	0.03125	14.2165738579876	1	64 	5.33609921142459e-05
1566:61	but we don't want --n403eec to miss any of those p t a --s and, you know, all of that.	know	any of those p t a --s and, you know, all of that	of	yes	NP		NP	NP-OTHER	sw2018_s145_508	that	106	0.0047372184483375	5.74425371956121	1	22376 	0.0186563368679432
1680:23	i, uh, listen to it all the time in, in my car,	it	listen to it all the time in, in my car	the	the	VP		NP-TMP		sw2020_s6_506	time	146	0.077991452991453	9.32425993824677	1	1872 	0.00156080901934169
1773:51	and, uh, she thinks it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890,	know	know all of the words to songs that she's listening to --n402889 --n402890	of	yes	VP		NP	NP-OBJ	sw2020_s65_516	words	1	0.0212765957446809	14.6702918254305	1	47 	3.91869785838993e-05
1946:123	i mean, i like, you know, things like --n4068bf to hear, you know, what they call --n4068ea world music. which --n406901 is, you know, using all these natural forms of music	using	using all these natural forms of music	these	the	VP		NP	NP-OBJ	sw2020_s175_546	forms	2	0.125	16.286963185879	1	16 	1.33402480285615e-05
2067:41	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	using	using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month	of	yes	VP		NP	NP-OBJ	sw2022_s7_511	our	1	0.000834724540901503	9.96864634454405	1	1198 	0.00099885107113854
2085:14	what do you all do --n400b65.	you	you all	do	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw2022_s17_503							
2127:55	we've taken that this year, and said we're going --n40244e to pay off all of our credit cards	off	pay off all of our credit cards	of	yes	VP		NP	NP-OTHER	sw2022_s49_518	cards	6	0.0705882352941176	13.8015363587088	1	85 	7.08700676517328e-05
